title,img,color,price
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$13.24,Forest Green
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$4.99,Grey
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$6.39,Lime
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$13.99,Orange
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$4.19,Pink
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$3.89,Purple
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$13.99,Saffron
Octane,https://www.aoeah.com//images/rocketleague/items/default.png,$6.99,Sky Blue
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$4.9,Default Color
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.49,Burnt Sienna
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.49,Cobalt
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$6.09,Crimson
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.29,Forest Green
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.49,Grey
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.29,Lime
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.29,Orange
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.29,Pink
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$5.29,Purple
Fennec,https://www.aoeah.com//images/rocketleague/items/default.png,$4.49,Saffron
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$15.49,Default Color
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$15.49,Burnt Sienna
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.59,Cobalt
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.49,Crimson
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.99,Forest Green
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.99,Grey
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.59,Lime
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.49,Orange
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.49,Pink
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$6.49,Purple
Jackal,https://www.aoeah.com//images/rocketleague/items/default.png,$7.39,Saffron
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$15.49,Default Color
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$14.19,Burnt Sienna
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$14.19,Cobalt
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$6.99,Crimson
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$7.99,Forest Green
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$6.99,Grey
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$6.99,Lime
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$8.59,Orange
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$7.49,Pink
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$7.39,Purple
Mamba,https://www.aoeah.com//images/rocketleague/items/default.png,$14.19,Saffron
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Default Color
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$7.69,Black
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Burnt Sienna
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Cobalt
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Crimson
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Forest Green
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Grey
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Lime
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$12.33,Orange
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Pink
Animus GP,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Purple
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Default Color
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Burnt Sienna
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Cobalt
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$13.99,Crimson
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Forest Green
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Grey
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Lime
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Orange
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Pink
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Purple
Diestro,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Saffron
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Default Color
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$8.39,Black
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Burnt Sienna
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Cobalt
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Crimson
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Forest Green
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Grey
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Lime
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Orange
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Pink
Centio,https://www.aoeah.com//images/rocketleague/items/default.png,$12.59,Purple
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Default Color
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Burnt Sienna
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Cobalt
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$13.99,Crimson
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Forest Green
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Grey
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Lime
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Orange
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Pink
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$13.99,Purple
Maverick GXT,https://www.aoeah.com//images/rocketleague/items/default.png,$13.24,Saffron
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Default Color
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$8.6,Black
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Burnt Sienna
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Cobalt
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Crimson
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Forest Green
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Grey
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Lime
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Orange
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$12.99,Pink
Endo,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Purple
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Default Color
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$22.69,Black
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Burnt Sienna
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Cobalt
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Crimson
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Forest Green
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Grey
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Lime
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Orange
