title,short_title,link,saleprice,oldprice,reviews,percentoff
Gigabyte NVMe 1.3/M.2/PCIe 3.0x4/ 1TB SSD (GP-GSM2NE3100TNTD),Gigabyte NVMe 1.3/M.2/PCI,/Gigabyte-NVMe-PCIe-3-0x4-GP-GSM2NE3100TNTD/dp/B07Z9YBT3T/ref=sr_1_115?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139899&sprefix=ssd+1tb%2Caps%2C247&sr=8-115,84.99,119.99,293.0,29.16909742478539
"PNY CS2130 1TB M.2 PCIe NVMe Gen3 x4 Internal Solid State Drive (SSD), Read up to 3,500 - M280CS2130-1TB-RB",PNY CS2130 1TB M.2 PCIe N,/PNY-CS2130-Internal-Solid-State/dp/B0869B4Q66/ref=sr_1_51?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139881&sprefix=ssd+1tb%2Caps%2C247&sr=8-51,84.99,119.99,0.0,29.16909742478539
"SAMSUNG 980 SSD 1TB PCle 3.0x4, NVMe M.2 2280, Internal Solid State Drive, Storage for PC, Laptops, Gaming and More, HMB Technology, Intelligent Turbowrite, Speeds of up-to 3,500MB/s, MZ-V8V1T0B/AM",SAMSUNG 980 SSD 1TB PCle ,/SAMSUNG-MZ-V8V1T0B-AM-980-SSD/dp/B08V83JZH4/ref=sr_1_7?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-7,99.99,139.99,0.0,28.573469533538116
Kingston Fury Renegade 1TB PCIe Gen 4.0 NVMe M.2 Internal Gaming SSD | Up to 7300 MB/s | Graphene Heat Spreader | 3D TLC NAND | Works with PS5 | SFYRS/1000G,Kingston Fury Renegade 1T,/Kingston-Renegade-Internal-SFYRS-1000G/dp/B09K3H2YHX/ref=sr_1_48?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-48,137.65,189.99,165.0,27.548818358861
"PNY CS900 1TB 3D NAND 2.5"" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-1TB-RB)",PNY CS900 1TB 3D NAND 2.5,/PNY-CS900-Internal-Solid-State/dp/B07Y5VDNT9/ref=sr_1_17?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-17,69.99,95.99,0.0,27.086154807792482
"Western Digital 500GB WD Blue SA510 SATA Internal Solid State Drive SSD - SATA III 6 Gb/s, M.2 2280, Up to 560 MB/s - WDS500G3B0B",Western Digital 500GB WD ,/Western-Digital-500GB-SA510-Internal/dp/B09ZYQG5C1/ref=sr_1_184?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139919&sprefix=ssd+1tb%2Caps%2C247&sr=8-184,54.99,74.99,2.0,26.670222696359502
Kingston NV1 1TB M.2 2280 NVMe PCIe Internal SSD Up to 2100 MB/s SNVS/1000G,Kingston NV1 1TB M.2 2280,/Kingston-2280-Internal-SNVS-1000G/dp/B091BDQ2B6/ref=sr_1_38?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-38,77.99,104.99,0.0,25.716734927135917
"Corsair Force Series MP600 500GB Gen4 PCIe x4 NVMe M.2 SSD (Up to 4,950MB/s Sequential Read and 2,500MB/s Sequential Write Speeds, High-Density 3D TLC NAND, M.2 2280 Form Factor) Black",Corsair Force Series MP60,/Corsair-Sequential-Speeds-High-Density-Factor/dp/B09P4MPHKG/ref=sr_1_282?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139948&sprefix=ssd+1tb%2Caps%2C247&sr=8-282,64.99,86.99,0.0,25.290263248649268
StarTech.com SATA to USB Cable - USB 3.0 to 2.5” SATA III Hard Drive Adapter - External Converter for SSD/HDD Data Transfer (USB3S2SAT3CB),StarTech.com SATA to USB ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg16_1?ie=UTF8&adId=A0983742XHGLFKHYHJP9&url=%2FStarTech-com-SATA-USB-Cable-USB3S2SAT3CB%2Fdp%2FB00HJZJI84%2Fref%3Dsr_1_241_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139938%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-241-spons%26psc%3D1&qualifier=1657139938&id=948453764460257&widgetName=sp_atf_next,11.99,15.99,0.0,25.015634771732337
"Nextorage Internal SSD 1TB for PS5 and PC Memory Expansion M.2 2280 Gen4 NVMe with Heatsink NEM-PA1TB/N SYM Maximum Transfer Rate Read: 7300MB/s, Write: 6000MB/s",Nextorage Internal SSD 1T,/Nextorage-Internal-Expansion-NEM-PA1TB-SYM/dp/B09RMHC8L8/ref=sr_1_49?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-49,127.49,169.99,18.0,25.00147067474559
