,product,title,rating,body
34,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Great cast,5.0,Thin but sturdy
35,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Great product and a great deal,5.0,It gives total protection for your phone.
36,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Great!,5.0,"Great case, sturdy and protects. Also comes with the 2 screen protectors and 2 camera ones too! And they work great and easy to put on."
37,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Very nice,5.0,I love this case
38,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",I love it best purchase I made,5.0,This is a awesome purchase it is clear and you can see the phone color through the case and it has camera guards I love it
39,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Perfect fit,5.0,This case is a perfect fit for the phone. I have bought a few cases at different places and this is by far the best.
40,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",very light,5.0,"This case was very light. I like the style and it was not expensive. Also, like the lens cover which is really protective."
41,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",great quality,5.0,Great quality and love the color.  Thank you!
42,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Very good,5.0,Very good
43,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Perfect,5.0,It has everything you need and love that it was exactly what the pictures describe it is.
44,"SPIDERCASE [3 IN 1] Designed for iPhone 13 Pro Max Case, [Crystal Clear Not Yellowing][with 2 Pcs Tempered Glass Screen Protectors &amp; 2 Pcs Camera Lens Protectors] Slim Thin Case-Clear",Great product!,5.0,"Love it, it’s amazing totally worth it!"
